hospital_name,state,total_performance_score,state_rank
CULLMAN REGIONAL MEDICAL CENTER,AL,22.916666666667,34
SHELBY BAPTIST MEDICAL CENTER,AL,22.666666666667,35
SPRINGHILL MEDICAL CENTER,AL,22.416666666667,36
GRANDVIEW MEDICAL CENTER,AL,21.083333333333,37
MARSHALL MEDICAL CENTERS,AL,20.916666666667,38
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,20.083333333333,39
MOBILE INFIRMARY MEDICAL CENTER,AL,19.916666666667,40
PRINCETON BAPTIST MEDICAL CENTER,AL,19.75,41
USA HEALTH UNIVERSITY HOSPITAL,AL,19.5,42
DCH REGIONAL MEDICAL CENTER,AL,19.5,42
HUNTSVILLE HOSPITAL,AL,18.25,44
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,18.0,45
D W MCMILLAN MEMORIAL HOSPITAL,AL,17.25,46
BROOKWOOD BAPTIST MEDICAL CENTER,AL,16.166666666667,47
MONROE COUNTY HOSPITAL,AL,13.333333333333,48
CHAMBERS MEMORIAL HOSPITAL,AR,55.444444444444,1
SILOAM SPRINGS REGIONAL HOSPITAL,AR,38.666666666667,2
ARKANSAS HEART HOSPITAL-ENCORE,AR,37.625,3
ST VINCENT MEDICAL CENTER/NORTH,AR,37.375,4
ST MARYS REGIONAL MEDICAL CENTER,AR,32.416666666667,5
BAXTER HEALTH,AR,31.916666666667,6
BAPTIST HEALTH - FORT SMITH,AR,31.833333333333,7
SALINE MEMORIAL HOSPITAL,AR,31.375,8
JOHNSON REGIONAL MEDICAL CENTER,AR,30.666666666667,9
MERCY HOSPITAL NORTHWEST ARKANSAS,AR,27.75,10
NORTHWEST MEDICAL CENTER-SPRINGDALE,AR,27.5,11
ST BERNARDS MEDICAL CENTER,AR,26.833333333333,12
CHI ST. VINCENT HOSPITAL HOT SPRINGS,AR,26.333333333333,13
"CONWAY REGIONAL MEDICAL CENTER, INC",AR,24.166666666667,14
CHI-ST VINCENT INFIRMARY,AR,23.833333333333,15
NORTH ARKANSAS REGIONAL MEDICAL CENTER,AR,23.5,16
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR,23.5,16
